Temp(°C)	PossibleStay	Weather (VeryRainy=-500  VerySunny=500)	Total Score	Nat	Cul	Ent	Continent	Country	DailyCost	Major City	Number of Records	PlaneTicket	Precipitation(mm)	Sun(hours)	Attractions	UnescoCult	RankGPI	Monuments	Museums	UnescoNat	NightLife	ProtectedArea	EnvRegulation	Restaurants
19.2	6	254.42	320	102	21	11	Europe	Russia	52.64	Moscow	1	149	68.58	323	1	10	62	2	9	4	9	43	55	1
36	3	329.56	504	81	126	141	Asia	Saudi Arabia	30.67	Riyadh	1	388	2.54	332.1	41	41	52	21	64	50	62	9	22	38
23	16	224.96	448	163	121	71	Europe	Serbia	21	Belgrade	1	161	66.04	291	27	41	31	40	40	50	28	55	58	16
28	1	38.04	462	117	177	114	Asia	Singapore	107.65	Singapore	1	389	149.86	187.9	41	58	18	62	57	50	24	57	10	49
10	1	258.5	450	93	117	87	Africa	South Africa	83.6	Johannesburg	1	395	25.4	283.9	16	45	51	40	32	14	22	50	29	49
25.6	3	343.76	200	52	22	63	Europe	Spain	125.99	Madrid	1	53	15.24	359	47	2	21	14	6	14	3	15	23	13
17.2	3	193.96	263	69	55	103	Europe	Sweden	122.94	Stockholm	1	60	66.04	260	27	16	12	21	18	31	52	34	4	24
18.6	2	115.7	239	64	52	102	Europe	Switzerland	179.61	Zurich	1	95	114.3	230	27	20	7	21	11	14	37	48	2	38
29	0	-28.86	427	83	119	75	Asia	Thailand	64.73	Bangkok	1	458	200.66	171.8	47	48	50	29	42	23	20	26	34	8
26.3	10	353.96	496	140	82	172	Africa	Tunisia	30	Tunis	1	182	2.54	356.5	60	28	34	7	47	31	55	58	51	57
22.9	12	306.76	384	150	45	12	Europe	Turkey	29.53	Istanbul	1	137	15.24	322	3	12	59	3	30	50	8	64	36	1
20	0	57.72	569	112	175	156	Africa	Uganda	48	Kampala	1	723	81.28	139	56	58	42	59	58	23	43	31	58	57
20.5	11	251.58	501	147	108	54	Europe	Ukraine	28	Kiev	1	165	58.42	310	3	33	64	40	35	31	27	61	55	24
17.3	2	152	209	39	51	29	Europe	United Kingdom	149.92	London	1	87	60	212	27	7	30	40	4	11	1	13	15	1
24.9	0	190.2	251	59	27	36	America	United States	221	New York	1	302	78	268.2	8	19	43	7	1	2	4	39	18	24
10.9	0	53.34	469	137	160	97	America	Uruguay	81	Montevideo	1	849	86.36	139.7	16	52	25	62	46	50	57	63	24	24
27.5	0	-46.06	444	132	145	68	Asia	Vietnam	42	Ho Chi Minh City	1	577	226.06	180	41	41	33	52	52	23	26	56	53	1
14.9	0	294.1	490	61	180	168	Africa	Zambia	31	Lusaka	1	673	0.4	294.5	56	63	27	56	61	31	49	2	28	63
